chunk_size,overlap,num_chunks,precision_mean,precision_std,recall_mean,recall_std
200,0,2,13.4,9.9,73.7,37.8
200,0,4,8.6,6.8,93.6,19.5
200,0,6,5.8,4.6,95.6,18.8
200,0,10,3.6,2.8,99.4,4.6
200,50,2,15.6,10.0,80.7,32.8
200,50,4,10.1,8.3,95.5,16.3
200,50,6,7.0,5.6,97.1,14.7
200,50,10,4.4,3.4,98.1,13.2
200,100,2,17.9,11.9,80.4,34.3
200,100,4,11.8,7.9,96.4,14.5
200,100,6,8.7,6.9,97.3,14.0
200,100,10,5.5,4.3,99.3,4.4
200,150,2,19.4,13.5,78.4,35.3
200,150,4,15.0,10.6,85.5,30.3
200,150,6,12.0,9.2,94.6,19.5
200,150,10,8.4,6.8,97.3,14.0
400,0,2,8.4,7.0,89.9,26.4
400,0,4,4.5,3.5,95.9,18.6
400,0,6,3.1,2.4,98.9,5.2
400,0,10,1.9,1.5,99.4,4.6
400,50,2,8.3,7.5,84.1,34.9
400,50,4,4.7,3.6,96.9,15.8
400,50,6,3.2,2.6,97.0,15.8
400,50,10,2.0,1.6,100.0,0.0
400,100,2,9.1,7.8,88.6,28.9
400,100,4,5.1,4.0,97.9,13.4
400,100,6,3.6,2.8,98.2,13.2
400,100,10,2.3,1.8,100.0,0.0
400,150,2,9.7,6.7,93.4,23.2
400,150,4,5.5,4.2,97.9,13.4
400,150,6,3.9,3.4,98.2,13.2
400,150,10,2.5,2.0,98.2,13.2
600,0,2,5.3,4.9,85.3,34.9
600,0,4,2.9,2.3,95.5,19.5
600,0,6,2.0,1.6,100.0,0.0
600,0,10,1.3,1.0,100.0,0.0
600,50,2,4.5,3.7,73.0,41.3
600,50,4,2.8,1.8,86.9,31.0
600,50,6,2.2,1.7,100.0,0.0
600,50,10,1.3,1.0,100.0,0.0
600,100,2,5.7,5.3,85.9,32.5
600,100,4,3.2,2.7,91.4,25.4
600,100,6,2.4,1.9,97.9,13.4
600,100,10,1.5,1.2,100.0,0.0
600,150,2,5.9,5.6,83.8,35.3
600,150,4,3.3,2.9,91.0,26.7
600,150,6,2.4,1.9,98.0,13.3
600,150,10,1.5,1.2,98.2,13.2
