chunk_size,overlap,num_chunks,precision_mean,precision_std,recall_mean,recall_std
200,0,2,9.0,7.1,84.2,32.7
200,0,4,4.7,3.5,88.8,27.7
200,0,6,3.3,2.2,94.7,18.7
200,0,10,2.0,1.3,98.0,12.0
200,50,2,9.1,7.2,82.6,31.9
200,50,4,5.4,4.0,93.4,20.9
200,50,6,3.7,2.5,96.7,13.2
200,50,10,2.3,1.5,97.6,11.7
200,100,2,10.9,8.6,85.5,32.1
200,100,4,6.4,5.0,94.7,19.4
200,100,6,4.6,3.4,97.6,14.5
200,100,10,2.8,1.9,100.0,0.0
200,150,2,12.4,10.4,84.8,33.9
200,150,4,8.9,7.0,92.6,22.4
200,150,6,6.6,5.0,98.6,8.2
200,150,10,4.3,3.2,100.0,0.0
400,0,2,3.9,3.9,70.2,44.8
400,0,4,2.2,1.9,79.6,39.8
400,0,6,1.5,1.2,83.6,36.6
400,0,10,1.0,0.7,93.4,23.4
400,50,2,3.8,3.7,71.4,42.6
400,50,4,2.1,1.8,81.5,36.7
400,50,6,1.5,1.1,88.1,29.8
400,50,10,1.0,0.7,93.2,21.9
400,100,2,4.5,3.9,81.5,35.6
400,100,4,2.5,1.8,88.7,28.4
400,100,6,1.8,1.3,93.4,21.5
400,100,10,1.1,0.8,96.1,19.3
400,150,2,5.2,4.1,89.4,29.1
400,150,4,2.8,1.9,96.1,16.8
400,150,6,2.0,1.2,99.4,3.4
400,150,10,1.2,0.8,99.4,3.4
600,0,2,2.1,2.2,65.9,45.3
600,0,4,1.3,1.2,76.2,40.9
600,0,6,0.9,0.8,82.7,36.9
600,0,10,0.6,0.5,89.3,29.7
600,50,2,2.2,2.0,63.8,46.6
600,50,4,1.2,1.1,72.5,43.5
600,50,6,0.9,0.7,79.0,39.5
600,50,10,0.6,0.5,89.2,30.7
600,100,2,2.6,2.6,70.4,44.4
600,100,4,1.5,1.3,79.6,38.8
600,100,6,1.1,0.8,90.5,28.9
600,100,10,0.7,0.5,97.1,16.2
600,150,2,2.7,2.4,72.9,42.5
600,150,4,1.5,1.2,80.6,38.2
600,150,6,1.1,0.8,85.2,34.4
600,150,10,0.7,0.5,87.8,31.6
