chunk_size,overlap,num_chunks,precision_mean,precision_std,recall_mean,recall_std
200,0,2,8.4,7.6,60.4,44.2
200,0,4,5.5,3.9,77.5,37.2
200,0,6,3.9,2.7,81.1,35.5
200,0,10,2.6,1.5,90.5,25.2
200,50,2,10.2,7.9,68.4,40.8
200,50,4,6.0,4.2,77.0,37.6
200,50,6,4.5,2.9,83.3,32.7
200,50,10,3.0,2.0,88.0,29.4
200,100,2,9.8,9.6,58.9,45.4
200,100,4,7.0,5.3,74.6,38.8
200,100,6,5.2,3.7,80.4,35.2
200,100,10,3.6,2.4,86.1,30.7
200,150,2,12.5,11.5,62.5,44.6
200,150,4,9.3,7.3,74.9,39.5
200,150,6,7.5,5.3,80.5,35.8
200,150,10,5.3,3.5,88.7,28.4
400,0,2,4.2,4.0,60.2,46.7
400,0,4,2.7,2.2,71.3,42.8
400,0,6,2.1,1.5,80.9,36.9
400,0,10,1.4,0.9,95.7,19.0
400,50,2,4.5,4.9,57.8,47.9
400,50,4,3.1,2.5,76.2,41.4
400,50,6,2.3,1.7,84.6,34.3
400,50,10,1.6,0.9,97.1,14.7
400,100,2,4.6,4.3,62.4,46.5
400,100,4,3.2,2.3,80.2,37.7
400,100,6,2.5,1.6,91.2,25.9
400,100,10,1.7,0.9,98.2,9.9
400,150,2,5.7,4.5,71.6,42.7
400,150,4,3.6,2.5,83.9,34.7
400,150,6,2.8,1.8,90.8,27.6
400,150,10,1.9,1.1,98.8,9.3
600,0,2,2.5,3.0,51.5,48.2
600,0,4,1.9,1.6,77.1,40.0
600,0,6,1.5,1.0,89.4,29.0
600,0,10,1.0,0.6,94.9,21.3
600,50,2,3.1,3.0,62.7,45.5
600,50,4,2.2,1.6,82.7,35.3
600,50,6,1.6,1.0,92.7,23.4
600,50,10,1.1,0.6,98.2,12.2
600,100,2,3.3,3.2,64.3,45.8
600,100,4,2.2,1.6,82.3,36.1
600,100,6,1.7,1.1,89.7,28.2
600,100,10,1.1,0.7,98.7,9.2
600,150,2,3.5,3.1,67.8,45.1
600,150,4,2.3,1.7,84.3,34.5
600,150,6,1.7,1.1,92.0,24.6
600,150,10,1.2,0.7,96.8,14.9
